Date,NSE_NO_OF_CONT,NSE_NO_OF_TRADE,NSE_NOTION_VAL,NSE_PR_VAL,BSE_TTL_TRADED_QTY,BSE_TTL_TRADED_VAL,BSE_AVG_TRADED_PRICE,BSE_NO_OF_TRADES,NSE_CAT_RETAIL_BUY_CR,NSE_CAT_RETAIL_SELL_CR,NSE_CAT_RETAIL_AVG_CR,NSE_EQ_RETAIL_BUY_CR,NSE_EQ_RETAIL_SELL_CR,NSE_EQ_RETAIL_AVG_CR,NSE_MRG_OUTSTANDING_BOD_LAKHS,NSE_MRG_FRESH_EXP_LAKHS,NSE_MRG_EXP_LIQ_LAKHS,NSE_MRG_NET_EOD_LAKHS,NSE_CLT_TOTAL_LONG_CONT,NSE_CLT_FUT_IDX_LONG,NSE_CLT_FUT_IDX_SHORT,NSE_REG_INVESTORS,BSE_REG_INVESTORS,NSE_MFSS_NOS_OF_SUB_ORDER,NSE_MFSS_TOT_SUB_AMT,NSE_MFSS_NOS_OF_RED_ORDER,NSE_MFSS_TOT_RED_AMT,NSE_MFSS_TOT_ORDER,NSE_EQUITY_TOTAL_NO_OF_ORDERS,NSE_FO_TOTAL_NO_OF_ORDERS,NSE_COMMODITY_TOTAL_NO_OF_ORDERS,NSE_MF_NO_OF_ORDERS,NSE_MF_NOTIONAL_TURNOVER,NSE_TBG_CM_NOS_OF_SECURITY_TRADES,NSE_TBG_CM_NOS_OF_TRADES,NSE_TBG_CM_TRADES_QTY,NSE_TBG_CM_TRADES_VALUES,NSE_TBG_FO_INDEX_FUT_QTY,NSE_TBG_FO_INDEX_FUT_VAL,NSE_TBG_FO_STOCK_FUT_QTY,NSE_TBG_FO_STOCK_FUT_VAL,NSE_TBG_FO_INDEX_OPT_QTY,NSE_TBG_FO_INDEX_OPT_VAL,NSE_TBG_FO_INDEX_OPT_PREM_VAL,NSE_TBG_FO_INDEX_OPT_PUT_CALL_RATIO,NSE_TBG_FO_STOCK_OPT_QTY,NSE_TBG_FO_STOCK_OPT_VAL,NSE_TBG_FO_STOCK_OPT_PREM_VAL,NSE_TBG_FO_STOCK_OPT_PUT_CALL_RATIO,NSE_TBG_FO_TOTAL_FO_QTY,NSE_TBG_FO_TOTAL_FO_VAL,NSE_TBG_FO_TOTAL_TRADED_PREM_VAL,NSE_TBG_FO_TOTAL_PUT_CALL_RATIO,NSE_TBG_COM_FUT_QTY,NSE_TBG_COM_FUT_VAL,NSE_TBG_COM_OPT_QTY,NSE_TBG_COM_OPT_VAL,NSE_TBG_COM_OPT_PREM,NSE_TBG_COM_TOTAL_QTY,NSE_TBG_COM_TOTAL_VAL
01-02-2025,,,,,,,,,,,,,,,,,,,,,,251015598,244653920,,,,,,,,,,,2866,38023520,39714.92,101789.64,282998,46603.53,1839271,109767.59,76530363,13354440.52,51471.6,0.84,9222304,577109.36,12101.46,0.51,87874936,14087921,219944.18,0.8,2,0.12596,18048,1184.165542,4.906042,18050,5.032002
03-02-2025,64417836.00,30354297.00,103785890466240.44,425382404997.95,1004837680.00,77641372173.93,30339145.0292,15967305.00,47457.32,45307.44,46382.38,35476.62,33394.55,34435.59,7828247.65,438320.27,456261.05,7810306.87,23116735,77590,73596,251015598,244653920,,,,,,,,,,,2946,43737228,31497.13,104886.08,150343,24676.02,1831772,109673.92,56995222,9905605.81,33028.07,0.84,7422614,472983.24,9510.17,0.58,66399951,10512938.99,176888.18,0.81,14,1.12039,89830,6014.780771,55.122771,89844,56.243161
04-02-2025,82149429.00,38732475.00,134770743216322.23,526779169199.75,4510455180.00,352095299244.87,37236920.6237,57379712.00,52763.04,58307.82,55535.43,35405.79,36175.71,35790.75,7810193.73,451494.46,467155.92,7794532.28,27745712,112919,124157,251015598,244653920,,,,,,,,,,,2914,38985802,31271.8,104198.6,244405,40712.2,1869130,112771.42,74405925,12993096.77,43013.34,0.97,7743504,483977.55,9664.57,0.53,84262964,13630557.94,206161.53,0.92,1,0.28686,90349,5869.889548,46.014048,90350,46.300908
05-02-2025,92536727.00,37612533.00,155055765541874.16,431435652384.15,96103700.00,7569281049.65,28018579.2360,2109004.00,47078.34,45060.97,46069.65,35948.80,35143.30,35546.05,7794461.59,497483.18,466093.39,7825851.38,33726019,56783,58329,251015598,244653920,,,,,,,,,,,2932,36962825,29911.84,94511.59,108027,17866.2,1501577,91266.22,85438859,15061167.72,34360.97,1.06,7097868,444408.84,8782.59,0.52,94146331,15614708.98,152275.98,1,84,5.29686,76609,5145.1136945,33.2029445,76693,38.4998045
06-02-2025,201798615.00,60242646.00,349453003173425.69,439903213175.65,119330000.00,9360530184.09,29354781.7416,2526558.00,46071.31,40289.70,43180.50,34169.04,31999.71,33084.38,7825735.05,474592.96,395484.13,7904843.88,63628200,59522,52627,251015598,244653920,,,,,,,,,,,2920,34519321,26756.81,90769.15,107126,17776.16,1440314,89007.32,195167329,34524830.21,36179.1,0.8,6631286,420470.1,7811.22,0.59,203346055,35052083.79,150773.8,0.79,1,0.06245,75781,5187.500661,27.051911,75782,27.114361
07-02-2025,69101496.00,34333344.00,112003452190760.59,497393891540.60,614084580.00,47990191164.91,30982892.6258,10888271.00,56018.72,55908.77,55963.74,33729.80,33030.17,33379.99,7820949.53,410491.08,421521.50,7809919.12,25158091,106492,107542,251015598,244653920,,,,,,,,,,,2912,35580980,30231.5,88907.85,204207,33514.15,1537901,94609.39,61622274,10716984.32,41836.57,0.97,7479222,483360.9,7902.82,0.56,70843604,11328468.76,177862.93,0.92,4,0.24949,78592,5308.676613,19.603863,78596,19.853353
10-02-2025,,,,,916299190.00,71169270541.81,32872690.0396,13978722.00,39122.09,36072.58,37597.33,28094.21,26618.42,27356.31,6766211.78,353972.74,344537.84,6775646.68,20668595,68036,61649,251015598,244653920,,,,,,,,,,,2971,33910715,23492.04,74020.11,128809,21233.68,1130588,68577.63,54018415,9404182.21,30927.88,0.94,5944472,375171.5,5577.73,0.63,61222284,9869165.02,126316.92,0.9,,,132524,8717.474332,29.111332,132524,29.111332
11-02-2025,84177308.00,37003441.00,137170932346144.25,437286304596.75,5588339830.00,428807244529.35,39663677.3345,60890995.00,45658.14,43757.75,44707.94,30196.26,29704.37,29950.31,7890125.07,382965.65,449509.70,7823581.02,25750205,95874,94594,251015598,244653920,,,,,,,,,,,2939,39171605,27667.19,87197.43,184666,29966.7,1443652,86898.64,76677103,13242961.46,36884.03,0.98,7500205,474131.77,6844.6,0.69,85805626,13833958.57,160593.97,0.95,4,0.474705,155674,10749.7383105,35.7670605,155678,36.2417655
12-02-2025,160335395.00,66816234.00,265093215764544.53,723394530544.55,245697940.00,18708733529.04,28208696.1439,5323764.00,63877.70,64855.21,64366.46,36273.50,37206.19,36739.85,7823545.70,371286.07,513757.20,7681074.57,52920640,118406,120969,251015598,244653920,,,,,,,,,,,2934,48265192,38265.72,104609.92,249496,40466.39,1792629,104721.06,151022144,25935819.81,63745.38,0.93,9313251,573501.77,8594.08,0.69,162377520,26654509.03,217526.91,0.91,1,0.286545,190765,12717.8207325,34.5462325,190766,34.8327775
13-02-2025,264241554.00,86579577.00,449187982699227.44,617970832967.45,202628790.00,15527712938.17,25801273.5026,4453110.00,49947.34,51641.08,50794.21,29729.50,29114.19,29421.85,7681004.60,365014.36,400685.52,7645333.45,75696308,75228,79562,251015598,244653920,,,,,,,,,,,2908,37104248,30808.52,84394.95,151984,24907.03,1339270,80857.72,257316653,44473276.18,55381.47,1.12,6924901,445522.09,6415.61,0.56,265732808,45024563.02,167561.83,1.1,2,0.12402,240008,15896.667231,36.889231,240010,37.013251
